project_slug,project_name,market_cap_usd,price_usd,total_invested,invest_mcap_ratio,funds_count,fund_slug,fund_name,fund_invested
double-zero-crypto-coin,2Z,422818651.5,0.12195,28000000.000000004,0.06622224421904435,9,multicoin-capital,Multicoin Capital,3111111.111111111
double-zero-crypto-coin,2Z,422818651.5,0.12195,28000000.000000004,0.06622224421904435,9,dragonfly-capital,Dragonfly Capital,3111111.111111111
double-zero-crypto-coin,2Z,422818651.5,0.12195,28000000.000000004,0.06622224421904435,9,borderless-capital,Borderless Capital,3111111.111111111
double-zero-crypto-coin,2Z,422818651.5,0.12195,28000000.000000004,0.06622224421904435,9,reciprocal-ventures,Reciprocal Ventures,3111111.111111111
double-zero-crypto-coin,2Z,422818651.5,0.12195,28000000.000000004,0.06622224421904435,9,foundation-capital,Foundation Capital,3111111.111111111
double-zero-crypto-coin,2Z,422818651.5,0.12195,28000000.000000004,0.06622224421904435,9,superscrypt,Superscrypt,3111111.111111111
double-zero-crypto-coin,2Z,422818651.5,0.12195,28000000.000000004,0.06622224421904435,9,dba,DBA,3111111.111111111
double-zero-crypto-coin,2Z,422818651.5,0.12195,28000000.000000004,0.06622224421904435,9,frictionless,Frictionless,3111111.111111111
double-zero-crypto-coin,2Z,422818651.5,0.12195,28000000.000000004,0.06622224421904435,9,ubik-capital,Ubik Capital,3111111.111111111
folks-finance,FOLKS,370769964.12,30.24,3200000.0,0.008630688323405607,4,mapleblock-capital,Mapleblock Capital,800000.0
folks-finance,FOLKS,370769964.12,30.24,3200000.0,0.008630688323405607,4,borderless-capital,Borderless Capital,800000.0
folks-finance,FOLKS,370769964.12,30.24,3200000.0,0.008630688323405607,4,algorand-foundation,Algorand Foundation,800000.0
folks-finance,FOLKS,370769964.12,30.24,3200000.0,0.008630688323405607,4,sovo,SOVO,800000.0
the-sandbox,SAND,347044804.73,0.1328,20000000.0,0.05762944647899267,4,animoca-brands,Animoca Brands,5000000.0
the-sandbox,SAND,347044804.73,0.1328,20000000.0,0.05762944647899267,4,kingsway-capital,Kingsway Capital,5000000.0
the-sandbox,SAND,347044804.73,0.1328,20000000.0,0.05762944647899267,4,lg-technology-ventures,LG Technology Ventures,5000000.0
the-sandbox,SAND,347044804.73,0.1328,20000000.0,0.05762944647899267,4,true-global-ventures-tgv,True Global Ventures (TGV),5000000.0
sonic-labs,S,344830927.24,0.0913,19999999.999999996,0.05799943804367678,12,galaxy-digital,Galaxy,10000000.0
sonic-labs,S,344830927.24,0.0913,19999999.999999996,0.05799943804367678,12,hashed,Hashed,909090.9090909091
sonic-labs,S,344830927.24,0.0913,19999999.999999996,0.05799943804367678,12,signum-capital,Signum Capital,909090.9090909091
sonic-labs,S,344830927.24,0.0913,19999999.999999996,0.05799943804367678,12,stani-kulechov,Stani Kulechov,909090.9090909091
sonic-labs,S,344830927.24,0.0913,19999999.999999996,0.05799943804367678,12,fernando-martinelli,Fernando Martinelli,909090.9090909091
sonic-labs,S,344830927.24,0.0913,19999999.999999996,0.05799943804367678,12,sam-kazemian,Sam Kazemian,909090.9090909091
sonic-labs,S,344830927.24,0.0913,19999999.999999996,0.05799943804367678,12,robert-leshner,Robert Leshner,909090.9090909091
sonic-labs,S,344830927.24,0.0913,19999999.999999996,0.05799943804367678,12,michael-egorov,Michael Egorov,909090.9090909091
sonic-labs,S,344830927.24,0.0913,19999999.999999996,0.05799943804367678,12,softbank,SoftBank,909090.9090909091
sonic-labs,S,344830927.24,0.0913,19999999.999999996,0.05799943804367678,12,uob-venture-management,UOB Venture Management,909090.9090909091
sonic-labs,S,344830927.24,0.0913,19999999.999999996,0.05799943804367678,12,tarun-chitra,Tarun Chitra,909090.9090909091
sonic-labs,S,344830927.24,0.0913,19999999.999999996,0.05799943804367678,12,aave-ventures,Aave Ventures,909090.9090909091
layerzero,ZRO,307793493.72,1.517,55000000.0,0.17869123656666225,1,a16z-andreessen-horowitz,Andreessen Horowitz (a16z),55000000.0
xpl,XPL,280080000,0.1562,23999999.999999993,0.08568980291345327,17,paolo-ardoino,Paolo Ardoino,2076923.076923077
xpl,XPL,280080000,0.1562,23999999.999999993,0.08568980291345327,17,bitfinex-ifinex-inc,Bitfinex,2076923.076923077
xpl,XPL,280080000,0.1562,23999999.999999993,0.08568980291345327,17,zaheer,Zaheer,2076923.076923077
xpl,XPL,280080000,0.1562,23999999.999999993,0.08568980291345327,17,6th-man-ventures,6MV (6th Man Ventures),1576923.076923077
xpl,XPL,280080000,0.1562,23999999.999999993,0.08568980291345327,17,bybit,Bybit,1576923.076923077
xpl,XPL,280080000,0.1562,23999999.999999993,0.08568980291345327,17,cobie,Cobie,1576923.076923077
xpl,XPL,280080000,0.1562,23999999.999999993,0.08568980291345327,17,drw-venture-capital,DRW Venture Capital,1576923.076923077
xpl,XPL,280080000,0.1562,23999999.999999993,0.08568980291345327,17,flow-traders,Flow Traders,1576923.076923077
xpl,XPL,280080000,0.1562,23999999.999999993,0.08568980291345327,17,imc-financial-markets,IMC Financial Markets,1576923.076923077
xpl,XPL,280080000,0.1562,23999999.999999993,0.08568980291345327,17,laser-digital,Laser Digital,1576923.076923077
xpl,XPL,280080000,0.1562,23999999.999999993,0.08568980291345327,17,guy-young,Guy Young,1576923.076923077
xpl,XPL,280080000,0.1562,23999999.999999993,0.08568980291345327,17,framework-ventures,Framework Ventures,1576923.076923077
xpl,XPL,280080000,0.1562,23999999.999999993,0.08568980291345327,17,peter-thiel,Peter Thiel,1576923.076923077
xpl,XPL,280080000,0.1562,23999999.999999993,0.08568980291345327,17,anthos-capital,Anthos Capital,500000.0
xpl,XPL,280080000,0.1562,23999999.999999993,0.08568980291345327,17,karatage,Karatage,500000.0
xpl,XPL,280080000,0.1562,23999999.999999993,0.08568980291345327,17,manifold-trading,Manifold Trading,500000.0
xpl,XPL,280080000,0.1562,23999999.999999993,0.08568980291345327,17,christian-angermayer,Christian Angermayer,500000.0
stable-2,STABLE,268048000,0.01531,27999999.999999993,0.1044589028830657,17,nascent,Nascent,1647058.8235294118
stable-2,STABLE,268048000,0.01531,27999999.999999993,0.1044589028830657,17,susquehanna-international-group-sig,Susquehanna International Group (SIG),1647058.8235294118
stable-2,STABLE,268048000,0.01531,27999999.999999993,0.1044589028830657,17,bybit,Bybit,1647058.8235294118
stable-2,STABLE,268048000,0.01531,27999999.999999993,0.1044589028830657,17,hack-vc,Hack VC,1647058.8235294118
stable-2,STABLE,268048000,0.01531,27999999.999999993,0.1044589028830657,17,blue-pool-capital,Blue Pool Capital,1647058.8235294118
stable-2,STABLE,268048000,0.01531,27999999.999999993,0.1044589028830657,17,mirana-ventures,Mirana Ventures,1647058.8235294118
stable-2,STABLE,268048000,0.01531,27999999.999999993,0.1044589028830657,17,bitfinex-ifinex-inc,Bitfinex,1647058.8235294118
stable-2,STABLE,268048000,0.01531,27999999.999999993,0.1044589028830657,17,egirl-capital,eGirl Capital,1647058.8235294118
stable-2,STABLE,268048000,0.01531,27999999.999999993,0.1044589028830657,17,nathan-mccauley,Nathan McCauley,1647058.8235294118
stable-2,STABLE,268048000,0.01531,27999999.999999993,0.1044589028830657,17,castle-island-ventures,Castle Island Ventures,1647058.8235294118
stable-2,STABLE,268048000,0.01531,27999999.999999993,0.1044589028830657,17,franklin-templeton,Franklin Templeton,1647058.8235294118
stable-2,STABLE,268048000,0.01531,27999999.999999993,0.1044589028830657,17,btse-labs,BTSE Labs,1647058.8235294118
stable-2,STABLE,268048000,0.01531,27999999.999999993,0.1044589028830657,17,kucoin-ventures,KuCoin Ventures,1647058.8235294118
stable-2,STABLE,268048000,0.01531,27999999.999999993,0.1044589028830657,17,paolo-ardoino,Paolo Ardoino,1647058.8235294118
stable-2,STABLE,268048000,0.01531,27999999.999999993,0.1044589028830657,17,usdt0,USDT0,1647058.8235294118
stable-2,STABLE,268048000,0.01531,27999999.999999993,0.1044589028830657,17,gabriel-abed,Gabriel Abed,1647058.8235294118
